subbasn,ret_final,ar_sqkm,mean_discharge_m3y
361.0,0.908106597713643,23474.90778,2.5004256e+08
362.0,0.75,5852.621558,904651.25
363.0,0.75,2926.310779,1.538675e+08
364.0,0.75,2926.310779,1.0200734e+08
365.0,0.29974195817754,5860.729173,2.9355933e+08
366.0,0.75,2926.310779,63115.203
367.0,0.45996514097863,5852.621558,1.6940284e+07
369.0,0.75,2926.310779,2.0713334e+07
370.0,0.982415987649828,5860.729173,1.1536324e+08
371.0,0.75,2926.310779,2.2428091e+08
372.0,0.75,2926.310779,1.2679402e+08
373.0,0.732129916786027,5860.729173,3.3392326e+08
374.0,0.75,2926.310779,9.810206e+06
375.0,0.75,8819.03104,2.95586e+06
376.0,0.984715498170845,5876.724717,5.8320035e+06
377.0,0.579568555321788,8811.143111,2.1007214e+08
378.0,0.75,5868.836788,1.3266292e+06
379.0,0.896144572706545,17645.72985,2.909842e+08
380.0,0.991858973906117,26592.90463,7.9469414e+08
381.0,0.75,2934.418394,2.5407026e+08
382.0,0.602400281292501,11729.56596,3.6205363e+08
383.0,0.75,2934.418394,3.1909645e+08
384.0,0.825786945421898,5868.836788,3.56976e+07
386.0,0.897778524243383,87488.05173,1.2046026e+08
387.0,0.891674245830026,5860.729173,7.430718e+07
388.0,0.726440847665831,106889.8028,1.7391208e+08
389.0,0.953885457001421,5868.836788,2.9962253e+08
391.0,0.75,2934.418394,7.2582904e+07
392.0,0.75,2934.418394,8.383334e+07
393.0,0.7968,17699.62396,6.6649344e+07
394.0,0.476024728617858,8834.586741,1.353164e+08
395.0,0.9282,115636.8143,4.2994352e+08
396.0,0.95092527123361,8842.254513,5.759856e+08
397.0,0.75,2942.306323,1.5283515e+08
398.0,0.990866252990846,17721.74437,3.4828547e+08
399.0,0.439775391718621,5884.612646,3.6159357e+08
400.0,0.99763811483125,17653.61778,7.44844e+08
401.0,0.75,2942.306323,1.741256e+07
402.0,0.998281419565489,108330.6806,3.5947792e+08
403.0,0.95145201295623,14703.64369,1.3768742e+08
404.0,0.75,2942.306323,3.3654744e+07
405.0,0.998454538264342,58387.9525,2.1194218e+08
406.0,0.75,2942.306323,1.17815816e+08
407.0,0.75,2942.306323,1.4945015e+07
408.0,0.75,2942.306323,1.4169363e+07
409.0,0.75,2942.306323,2.986211e+07
