subbasn,ar_sqkm,grd_cells,gen_flux,out_flux,ret_final,method
1216.0,3075.861661,2,79008.95142132,79008.95142132,0.75,Fixed (Size <= 4 Grids)
1217.0,6151.723321,4,4891.70570174,354.37843362999996,0.927555242437429,Calculated
1218.0,3075.861661,2,4637.009985327,4637.009985327,0.75,Fixed (Size <= 4 Grids)
1219.0,3075.861661,2,30197.8079024,30197.8079024,0.75,Fixed (Size <= 4 Grids)
1220.0,3075.861661,4,13103.090207,13103.090207,0.75,Fixed (Size <= 4 Grids)
1221.0,15381.81689,10,266759.706418057,26.753695817,0.999899708632251,Calculated
1222.0,9228.269136,4,330213.8816693,148668.0018504,0.549782701142507,Calculated
1223.0,3075.861661,4,17652.44131818,17652.44131818,0.75,Fixed (Size <= 4 Grids)
1224.0,3075.861661,2,52671.88415296,52671.88415296,0.75,Fixed (Size <= 4 Grids)
1225.0,3075.861661,2,4502.077501289999,4502.077501289999,0.75,Fixed (Size <= 4 Grids)
1226.0,3075.861661,4,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1227.0,3075.861661,4,964.91986175,964.91986175,0.75,Fixed (Size <= 4 Grids)
1228.0,3075.861661,2,6965.408273878,6965.408273878,0.75,Fixed (Size <= 4 Grids)
1229.0,3075.861661,2,762.1159295,762.1159295,0.75,Fixed (Size <= 4 Grids)
1230.0,3075.861661,2,652.8100747999999,652.8100747999999,0.75,Fixed (Size <= 4 Grids)
1231.0,3075.861661,2,3123.175295,3123.175295,0.75,Fixed (Size <= 4 Grids)
1232.0,3075.861661,4,1609.96885028,1609.96885028,0.75,Fixed (Size <= 4 Grids)
1233.0,3075.861661,4,17403.171482,17403.171482,0.75,Fixed (Size <= 4 Grids)
1234.0,3075.861661,4,15696.1410502,15696.1410502,0.75,Fixed (Size <= 4 Grids)
1235.0,3075.861661,2,4588.554645,4588.554645,0.75,Fixed (Size <= 4 Grids)
1236.0,3075.861661,2,5821.3649919,5821.3649919,0.75,Fixed (Size <= 4 Grids)
1237.0,9228.269136,6,344967.9633754,11567.557369,0.966467734406943,Calculated
1238.0,3075.861661,2,9821.7019262,9821.7019262,0.75,Fixed (Size <= 4 Grids)
1239.0,3075.861661,4,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1240.0,3075.861661,4,739.8372211,739.8372211,0.75,Fixed (Size <= 4 Grids)
1241.0,3075.861661,4,3796.0806384,3796.0806384,0.75,Fixed (Size <= 4 Grids)
1242.0,3075.861661,4,1027.3599562,1027.3599562,0.75,Fixed (Size <= 4 Grids)
1243.0,6150.811177,3,11609.749869292,3092.515815082,0.73362769655686,Calculated
1244.0,79875.95877,49,9417694.674479265,149129.816380674,0.984164934037966,Calculated
1245.0,3075.861661,2,4322.215050483,4322.215050483,0.75,Fixed (Size <= 4 Grids)
1246.0,6150.811177,3,16128.72596059,1058.27321443,0.934385814662866,Calculated
1247.0,3076.545815,2,47.95179207,47.95179207,0.75,Fixed (Size <= 4 Grids)
1248.0,3076.545815,2,913.888678852,913.888678852,0.75,Fixed (Size <= 4 Grids)
1249.0,61442.68206,37,1729425.13652641,397209.9591671,0.770322547777405,Calculated
1250.0,39938.3245,17,683029.605696911,24011.964250591,0.964844914407347,Calculated
1251.0,6152.407475,2,30548.50231918,10993.92987505,0.640115585367096,Calculated
1252.0,3076.545815,1,226.83311684,226.83311684,0.75,Fixed (Size <= 4 Grids)
1253.0,6153.091629,2,6179.014945824,3714.801464444,0.398803612385726,Calculated
1254.0,3076.545815,2,49940.277935000006,49940.277935000006,0.75,Fixed (Size <= 4 Grids)
1255.0,3076.545815,2,6413.4008704,6413.4008704,0.75,Fixed (Size <= 4 Grids)
1256.0,3076.545815,1,16129.078230395,16129.078230395,0.75,Fixed (Size <= 4 Grids)
1257.0,3076.545815,1,229751.1026542,229751.1026542,0.75,Fixed (Size <= 4 Grids)
1258.0,43063.43174,17,6932145.771698271,186063.883422541,0.973159265608323,Calculated
1259.0,3076.545815,1,453.7694963,453.7694963,0.75,Fixed (Size <= 4 Grids)
1260.0,6153.091629,3,123028.39759209,7463.67418229,0.939333728404426,Calculated
1261.0,3076.545815,1,45668.1038353,45668.1038353,0.75,Fixed (Size <= 4 Grids)
1262.0,3076.545815,1,0.0,0.0,0.75,Fixed (Size <= 4 Grids)
1263.0,15379.76447,6,1592322.9111433,74098.6232652,0.953465077499892,Calculated
1264.0,6152.407475,2,111996.09289877,25989.42784257,0.76794344186577,Calculated
1265.0,3076.545815,1,96539.438724035,96539.438724035,0.75,Fixed (Size <= 4 Grids)
1266.0,3076.545815,1,344853.3730089,344853.3730089,0.75,Fixed (Size <= 4 Grids)
1267.0,3076.545815,1,40511.007745626,40511.007745626,0.75,Fixed (Size <= 4 Grids)
1268.0,3076.545815,2,10086.09841415,10086.09841415,0.75,Fixed (Size <= 4 Grids)
1269.0,3076.545815,2,5504.5770842,5504.5770842,0.75,Fixed (Size <= 4 Grids)
