subbasn,data_cov,mask_v1,grid_cells,gen_flux,out_flux,ratio,retention,mask_v2,mask_final,ret_valid,name,river,categry,mouth,ddm30_d,stn30_d,contnnt,sea,seabasn,lon,lat,strahlr,area,ar_sqkm,land_ar,arlndfr,grd_cll,sbbsn_c,t_sbbsn_d,t_sbbsn_c,A_juC1,A_jmT1,A_jmT3,A_jmC1,A_jmC2,A_jdC1,wrld_rg,wrld_r_,mask,to_sea,mask_pnv,ret_final,method,ratio_final
42.0,1.0,0,329,81211574.7096747,4426196.41080511,0.054502038984325,0.945497961015675,0,0,0.945497961015675,Kasai_subbasin,Congo (Zaire),tributary,0.0,6.0,3.0,Africa,Atlantic Ocean,Angola Basin,16.75,-3.25,4.0,888382.0,882611.2679,880874.1854,0.998031883,289.0,juT4,44.0,jdC,0.0,0.0,0.0,0.0,0.0,0.142622,Africa,Africa,0.0,1.0,1,0.945497961015675,Calculated,0.05450203898432504
43.0,1.0,0,261,57339881.38281011,939082.415858801,0.016377473988642,0.983622526011358,0,0,0.983622526011358,Ubangi_subbasin,Congo (Zaire),tributary,0.0,6.0,3.0,Africa,Atlantic Ocean,Angola Basin,17.75,-0.25,4.0,669617.0,665200.6003,657696.518,0.988719069,217.0,juT1,44.0,jdC,0.0,0.0,0.0,0.0,0.0,0.214151,Africa,Africa,0.0,1.0,1,0.983622526011358,Calculated,0.016377473988641977
44.0,1.0,0,102,427199835.0432181,933659.124784861,0.002185532503051,0.997814467496949,0,0,0.997814467496949,Delta_subbasin,Congo (Zaire),main channel,1.0,6.0,3.0,Africa,Atlantic Ocean,Angola Basin,12.25,-6.25,5.0,259730.0,258003.1565,252127.198,0.977225246,84.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,Africa,Africa,0.0,1.0,1,0.997814467496949,Calculated,0.00218553250305098
45.0,1.0,0,81,6851090.237754275,715915.650066226,0.104496602032919,0.895503397967081,0,0,0.895503397967081,Songha_subbasin,Congo (Zaire),tributary,0.0,6.0,3.0,Africa,Atlantic Ocean,Angola Basin,17.25,-0.75,4.0,204115.0,202757.2499,202757.2495,0.999999998,66.0,juT2,44.0,jdC,0.0,0.0,0.0,0.0,0.0,0.1903,Africa,Africa,0.0,1.0,1,0.895503397967081,Calculated,0.104496602032919
46.0,0.999999999999998,0,58,580579.785886005,355.664270506,0.000612601883759,0.999387398116241,0,0,0.999387398116241,Copper,Copper,individual river,1.0,181.0,241.0,North America,Pacific Ocean,Gulf of Alaska,-144.75,60.25,3.0,63189.0,63422.95085,37499.91726,0.591267306,43.0,,,,,,,,,,North_America,North America,0.0,1.0,0,0.999387398116241,Calculated,0.0006126018837590008
47.0,0.999999999999997,0,28,16270845.82736468,134911.50720164,0.008291609952738,0.991708390047262,0,0,0.991708390047262,Cross,Cross,individual river,1.0,408.0,306.0,Africa,Atlantic Ocean,Sao Tome-Principe Basin,8.25,4.75,3.0,58522.0,58139.19993,57414.27,0.987531133,19.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.991708390047262,Calculated,0.008291609952738033
48.0,1.0,0,66,23517238.559972495,2370987.192773533,0.100819115591618,0.899180884408382,0,0,0.899180884408382,Cuanza,Cuanza,individual river,1.0,155.0,112.0,Africa,Atlantic Ocean,Angola Basin,13.25,-9.25,3.0,149051.0,148124.3841,147585.5523,0.996362302,49.0,,,,,,,,,,Africa,Africa,0.0,1.0,0,0.899180884408382,Calculated,0.10081911559161805
49.0,0.999999999999993,0,36,148819.417603047,239.2678887,0.001607773317177,0.998392226682823,0,0,0.998392226682823,Dalalven,Dalalven,individual river,1.0,417.0,451.0,Europe,Atlantic Ocean,Atlantic Ocean,17.75,60.75,2.0,28547.0,28648.6522,25859.83167,0.90265439,19.0,,,,,,,,,,Europe,Europe,0.0,1.0,0,0.998392226682823,Calculated,0.001607773317176986
50.0,0.999999999999998,0,26,12598150.557905992,18026.4738403,0.00143088255355,0.99856911744645,0,0,0.99856911744645,Damodar,Damodar,individual river,1.0,310.0,267.0,Asia,Indian Ocean,Bengal Gulf,88.25,21.75,3.0,71069.0,70743.03548,68958.95208,0.974780791,25.0,,,,,,,,,,Asia,Asia,0.0,1.0,0,0.99856911744645,Calculated,0.0014308825535499503
51.0,1.0,0,105,76640376.65999018,3014206.42589842,0.039329222496788,0.960670777503212,0,0,0.960670777503212,Middlestream_subbasin,Danube,main channel,0.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),22.75,44.75,4.0,161187.0,161223.3977,160626.6003,0.99629832,75.0,jmC,52.0,jdC,0.0,0.0,0.0,0.0,0.0,0.284282,Europe,Europe,0.0,1.0,0,0.960670777503212,Calculated,0.03932922249678805
52.0,1.0,0,84,113291032.58427778,1083830.4447812128,0.009566780530268,0.990433219469732,0,0,0.990433219469732,Downstream_delta_subbasin,Danube,main channel,1.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),29.75,45.25,4.0,148168.0,148147.4588,145642.5347,0.983091684,67.0,jdC,,,0.0,0.0,0.0,0.0,0.0,0.0,Europe,Europe,0.0,1.0,0,0.990433219469732,Calculated,0.009566780530268049
53.0,1.0,0,88,8747009.82865847,685405.39100712,0.078358822550019,0.921641177449981,0,0,0.921641177449981,Tisza_subbasin,Danube,tributary,0.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),20.25,45.75,3.0,147223.0,147298.6501,147298.6499,0.999999998,70.0,juT4,51.0,jmC,0.0,0.0,0.0,0.095403,0.0,0.284282,Europe,Europe,0.0,1.0,0,0.921641177449981,Calculated,0.07835882255001902
54.0,1.0,0,78,25873527.394246023,1050952.63583951,0.040618838700487,0.959381161299513,0,0,0.959381161299513,Upstream_subbasin,Danube,tributary,0.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),17.25,48.25,4.0,133774.0,133878.544,133415.258,0.996539505,65.0,juT1,51.0,jmC,0.0,0.0,0.0,0.253316,0.0,0.284282,Europe,Europe,0.0,1.0,0,0.959381161299513,Calculated,0.04061883870048699
55.0,1.0,0,54,16115806.087476823,1793150.89440849,0.111266596574521,0.888733403425479,0,0,0.888733403425479,Sava_subbasin,Danube,tributary,0.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),19.75,44.75,3.0,90080.0,90076.11906,90076.11802,0.999999989,41.0,juT3,51.0,jmC,0.0,0.0,0.0,0.081874,0.0,0.284282,Europe,Europe,0.0,1.0,0,0.888733403425479,Calculated,0.11126659657452098
56.0,1.0,0,38,3177418.77730697,2150633.22929264,0.676849159655126,0.323150840344874,0,0,0.323150840344874,Siret_subbasin,Danube,tributary,0.0,25.0,36.0,Europe,Mediterranean Sea,Black Sea (North),27.75,45.25,2.0,46910.0,46926.61066,46905.72185,0.999554862,22.0,jmT1,52.0,jdC,0.0,0.0,0.0,0.0,0.0,0.058891,Europe,Europe,0.0,1.0,0,0.323150840344874,Calculated,0.676849159655126
